,keys,Actual TOW,Estimated TOW,Difference
2144,AB_2332_AMD_20,44520.0,0.0,44520.0
2145,AB_2350_DEL_20,44866.0,0.0,44866.0
2146,AB_2486_MAA_20,44463.0,0.0,44463.0
2147,AB_2638_SXR_20,45438.0,0.0,45438.0
2148,AB_2128_DEL_20,44774.0,0.0,44774.0
2149,AB_2359_BLR_20,44398.0,0.0,44398.0
2150,AB_2491_BOM_20,45438.0,0.0,45438.0
2151,AB_2110_BOM_20,44584.0,0.0,44584.0
2152,AB_2431_HYD_20,44951.0,0.0,44951.0
2153,AB_2524_BOM_20,44520.0,0.0,44520.0
2154,AB_2394_BOM_20,45446.0,0.0,45446.0
2155,AB_2527_BLR_20,44818.0,0.0,44818.0
2156,AB_2127_BOM_20,44774.0,0.0,44774.0
2157,AB_2371_GOX_20,44774.0,0.0,44774.0
2158,AB_2465_GOX_20,45446.0,0.0,45446.0
2159,AB_2334_DEL_20,44746.0,0.0,44746.0
2160,AB_2421_BLR_20,45430.0,0.0,45430.0
2161,AB_2637_BOM_20,45438.0,0.0,45438.0
2162,AB_2642_BOM_20,44398.0,0.0,44398.0
2163,AB_2355_DEL_20,44774.0,0.0,44774.0
2164,AB_2504_GAU_5,56613.0,14388.44,42224.56
2165,AB_2541_CCU_5,56660.0,14057.2,42602.8
2166,AB_1070_BOM_5,45446.0,0.0,45446.0
2167,AB_2349_BOM_5,59103.0,15173.0,43930.0
2168,AB_2424_VNS_5,58290.0,14590.0,43700.0
2169,AB_2397_GOX_5,59093.0,15387.1,43705.9
2170,AB_2145_AMD_10,44746.0,0.0,44746.0
2171,AB_2519_COK_9,44877.0,0.0,44877.0
2172,AB_2120_BOM_10,44746.0,0.0,44746.0
2173,AB_2385_BOM_10,44746.0,0.0,44746.0
2174,AB_2386_IXB_10,44746.0,0.0,44746.0
2175,AB_2503_BOM_9,44746.0,0.0,44746.0
2176,AB_2719_DEL_10,44746.0,0.0,44746.0
2177,AB_2335_DEL_8,44398.0,0.0,44398.0
2178,AB_2437_BLR_9,44746.0,0.0,44746.0
2179,AB_2146_DEL_10,44746.0,0.0,44746.0
2180,AB_2334_DEL_8,44398.0,0.0,44398.0
2181,AB_2336_BLR_8,44398.0,0.0,44398.0
2182,AB_2509_PNQ_9,44746.0,0.0,44746.0
2183,AB_2518_BOM_9,44877.0,0.0,44877.0
2184,AB_2318_PNQ_8,44398.0,0.0,44398.0
2185,AB_2342_AMD_8,44398.0,0.0,44398.0
2186,AB_2359_BLR_8,44877.0,0.0,44877.0
2187,AB_2367_BOM_9,44877.0,0.0,44877.0
2188,AB_2375_BLR_9,44746.0,0.0,44746.0
2189,AB_2508_AMD_8,44398.0,0.0,44398.0
2190,AB_2711_DEL_9,44877.0,0.0,44877.0
2191,AB_2541_GAU_9,44746.0,0.0,44746.0
